pid,survived,pclass,Mr.,Mrs.,Miss.,Master.,sex,age,age_unknown,sibling/spouse,parent,fare_unknown,cabin_unknown,onedie,onesur,family
1,0,3,1,0,0,0,0,22,0,1,0,0,1,0,0,0
2,1,1,0,1,0,0,1,38,0,1,0,0,0,0,0,0
3,1,3,0,0,1,0,1,26,0,0,0,0,1,0,0,0
4,1,1,0,1,0,0,1,35,0,1,0,0,0,1,0,1
5,0,3,1,0,0,0,0,35,0,0,0,0,1,0,0,0
6,0,3,1,0,0,0,0,18,1,0,0,0,1,0,0,0
7,0,1,1,0,0,0,0,54,0,0,0,0,0,0,0,0
8,0,3,0,0,0,1,0,2,0,1,1,0,1,1,0,1
9,1,3,0,1,0,0,1,27,0,0,1,0,1,0,1,1
10,1,2,0,1,0,0,1,14,0,1,0,0,1,1,0,1
11,1,3,0,0,1,0,1,4,0,1,1,0,0,0,1,1
12,1,1,0,0,1,0,1,58,0,0,0,0,0,0,0,0
13,0,3,1,0,0,0,0,20,0,0,0,0,1,0,0,0
14,0,3,1,0,0,0,0,39,0,1,1,0,1,1,0,1
15,0,3,0,0,1,0,1,14,0,0,0,0,1,0,0,0
16,1,2,0,1,0,0,1,55,0,0,0,0,1,0,0,0
17,0,3,0,0,0,1,0,2,0,1,1,0,1,1,0,1
18,1,2,1,0,0,0,0,18,1,0,0,0,1,0,0,0
19,0,3,0,1,0,0,1,31,0,1,0,0,1,0,0,0
20,1,3,0,1,0,0,1,18,1,0,0,0,1,0,0,0
21,0,2,1,0,0,0,0,35,0,0,0,0,1,1,0,1
22,1,2,1,0,0,0,0,34,0,0,0,0,0,0,0,0
23,1,3,0,0,1,0,1,15,0,0,0,0,1,0,0,0
24,1,1,1,0,0,0,0,28,0,0,0,0,0,0,0,0
25,0,3,0,0,1,0,1,8,0,1,1,0,1,1,0,1
26,1,3,0,1,0,0,1,38,0,1,1,0,1,1,1,1
27,0,3,1,0,0,0,0,18,1,0,0,0,1,0,0,0
28,0,1,1,0,0,0,0,19,0,1,1,0,0,1,1,1
29,1,3,0,0,1,0,1,18,1,0,0,0,1,0,0,0
30,0,3,1,0,0,0,0,18,1,0,0,0,1,0,0,0
31,0,1,0,0,0,0,0,40,0,0,0,0,1,0,0,0
32,1,1,0,1,0,0,1,18,1,1,0,0,0,0,1,1
33,1,3,0,0,1,0,1,18,1,0,0,0,1,0,0,0
34,0,2,1,0,0,0,0,66,0,0,0,0,1,0,0,0
35,0,1,1,0,0,0,0,28,0,1,0,0,1,0,1,1
36,0,1,1,0,0,0,0,42,0,1,0,0,1,0,1,1
37,1,3,1,0,0,0,0,18,1,0,0,0,1,0,0,0
38,0,3,1,0,0,0,0,21,0,0,0,0,1,0,0,0
39,0,3,0,0,1,0,1,18,0,1,0,0,1,1,0,1
40,1,3,0,0,1,0,1,14,0,1,0,0,1,0,1,1
41,0,3,0,1,0,0,1,40,0,1,0,0,1,0,0,0
42,0,2,0,1,0,0,1,27,0,1,0,0,1,1,0,1
43,0,3,1,0,0,0,0,18,1,0,0,0,1,0,0,0
44,1,2,0,0,1,0,1,3,0,1,1,0,1,1,1,1
45,1,3,0,0,1,0,1,19,0,0,0,0,1,0,0,0
46,0,3,1,0,0,0,0,18,1,0,0,0,1,0,0,0
47,0,3,1,0,0,0,0,18,1,1,0,0,1,0,0,0
48,1,3,0,0,1,0,1,18,1,0,0,0,1,0,0,0
49,0,3,1,0,0,0,0,18,1,1,0,0,1,0,0,0
50,0,3,0,1,0,0,1,18,0,1,0,0,1,1,0,1
51,0,3,0,0,0,1,0,7,0,1,1,0,1,1,0,1
52,0,3,1,0,0,0,0,21,0,0,0,0,1,0,0,0
53,1,1,0,1,0,0,1,49,0,1,0,0,0,0,1,1
54,1,2,0,1,0,0,1,29,0,1,0,0,1,0,0,0
55,0,1,1,0,0,0,0,65,0,0,1,0,0,0,0,0
56,1,1,1,0,0,0,0,18,1,0,0,0,0,0,0,0
57,1,2,0,0,1,0,1,21,0,0,0,0,1,0,0,0
58,0,3,1,0,0,0,0,28,0,0,0,0,1,0,0,0
59,1,2,0,0,1,0,1,5,0,1,1,0,1,1,1,1
60,0,3,0,0,0,1,0,11,0,1,1,0,1,1,0,1
61,0,3,1,0,0,0,0,22,0,0,0,0,1,0,0,0
62,1,1,0,0,1,0,1,38,0,0,0,0,0,0,1,1
63,0,1,1,0,0,0,0,45,0,1,0,0,0,0,1,1
64,0,3,0,0,0,1,0,4,0,1,1,0,1,1,0,1
65,0,1,1,0,0,0,0,18,1,0,0,0,1,0,0,0
66,1,3,0,0,0,1,0,18,1,1,1,0,1,0,1,1
67,1,2,0,1,0,0,1,29,0,0,0,0,0,0,0,0
68,0,3,1,0,0,0,0,19,0,0,0,0,1,0,0,0
69,1,3,0,0,1,0,1,17,0,1,1,0,1,0,0,0
70,0,3,1,0,0,0,0,26,0,1,0,0,1,0,0,0
71,0,2,1,0,0,0,0,32,0,0,0,0,1,0,0,0
72,0,3,0,0,1,0,1,16,0,1,1,0,1,1,0,1
73,0,2,1,0,0,0,0,21,0,0,0,0,1,1,0,1
74,0,3,1,0,0,0,0,26,0,1,0,0,1,0,0,0
